stencil computation, n=3000, m=12000, r=38, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=40, c=1, i=10, time=0.122134
stencil computation, n=3000, m=12000, r=42, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=44, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=46, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=48, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=2, i=10, time=3.349071
stencil computation, n=3000, m=12000, r=1, c=4, i=10, time=1.728666
stencil computation, n=3000, m=12000, r=1, c=6, i=10, time=1.652513
stencil computation, n=3000, m=12000, r=1, c=8, i=10, time=1.046205
stencil computation, n=3000, m=12000, r=1, c=10, i=10, time=1.059177
stencil computation, n=3000, m=12000, r=1, c=12, i=10, time=0.764769
stencil computation, n=3000, m=12000, r=1, c=14, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=16, i=10, time=0.728925
stencil computation, n=3000, m=12000, r=1, c=18, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=20, i=10, time=0.617424
stencil computation, n=3000, m=12000, r=1, c=22, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=24, i=10, time=0.519621
stencil computation, n=3000, m=12000, r=1, c=26, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=28, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=30, i=10, time=0.385759
stencil computation, n=3000, m=12000, r=1, c=32, i=10, time=0.366999
stencil computation, n=3000, m=12000, r=1, c=34, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=36, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=38, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=40, i=10, time=0.306926
stencil computation, n=3000, m=12000, r=1, c=42, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=44, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=46, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=48, i=10, time=0.542477
stencil computation, n=3000, m=12000, r=2, c=2, i=10, time=2.011980
stencil computation, n=3000, m=12000, r=2, c=4, i=10, time=1.084455
stencil computation, n=3000, m=12000, r=2, c=6, i=10, time=0.691828
stencil computation, n=3000, m=12000, r=2, c=8, i=10, time=0.531880
stencil computation, n=3000, m=12000, r=4, c=2, i=10, time=0.515859
stencil computation, n=3000, m=12000, r=4, c=4, i=10, time=0.501100
stencil computation, n=3000, m=12000, r=4, c=6, i=10, time=0.302255
stencil computation, n=3000, m=12000, r=4, c=8, i=10, time=0.210286
stencil computation, n=3000, m=12000, r=6, c=2, i=10, time=0.427760
stencil computation, n=3000, m=12000, r=6, c=4, i=10, time=0.287932
stencil computation, n=3000, m=12000, r=6, c=6, i=10, time=0.220019
stencil computation, n=3000, m=12000, r=6, c=8, i=10, time=0.175604
stencil computation, n=3000, m=12000, r=8, c=2, i=10, time=0.294149
stencil computation, n=3000, m=12000, r=8, c=4, i=10, time=0.217532
stencil computation, n=3000, m=12000, r=8, c=6, i=10, time=0.193578
stencil computation, n=3000, m=12000, r=8, c=8, i=10, time=0.138896
stencil computation, n=3000, m=12000, r=1, c=1, i=10, time=6.724562
stencil computation, n=3000, m=12000, r=2, c=1, i=10, time=3.975494
stencil computation, n=3000, m=12000, r=4, c=1, i=10, time=0.997604
stencil computation, n=3000, m=12000, r=6, c=1, i=10, time=0.661163
stencil computation, n=3000, m=12000, r=8, c=1, i=10, time=0.529189
stencil computation, n=3000, m=12000, r=10, c=1, i=10, time=0.797894
stencil computation, n=3000, m=12000, r=12, c=1, i=10, time=0.429847
stencil computation, n=3000, m=12000, r=14, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=16, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=18, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=20, c=1, i=10, time=0.223554
stencil computation, n=3000, m=12000, r=22, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=24, c=1, i=10, time=0.206401
stencil computation, n=3000, m=12000, r=26, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=28, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=30, c=1, i=10, time=0.174008
stencil computation, n=3000, m=12000, r=32, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=34, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=36, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=38, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=40, c=1, i=10, time=0.112016
stencil computation, n=3000, m=12000, r=42, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=44, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=46, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=48, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=2, i=10, time=3.342347
stencil computation, n=3000, m=12000, r=1, c=4, i=10, time=1.730752
stencil computation, n=3000, m=12000, r=1, c=6, i=10, time=1.488239
stencil computation, n=3000, m=12000, r=1, c=8, i=10, time=0.939014
stencil computation, n=3000, m=12000, r=1, c=10, i=10, time=1.068003
stencil computation, n=3000, m=12000, r=1, c=12, i=10, time=0.969343
stencil computation, n=3000, m=12000, r=1, c=14, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=16, i=10, time=0.716956
stencil computation, n=3000, m=12000, r=1, c=18, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=20, i=10, time=0.613920
stencil computation, n=3000, m=12000, r=1, c=22, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=24, i=10, time=0.526002
stencil computation, n=3000, m=12000, r=1, c=26, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=28, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=30, i=10, time=0.380840
stencil computation, n=3000, m=12000, r=1, c=32, i=10, time=0.363319
stencil computation, n=3000, m=12000, r=1, c=34, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=36, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=38, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=40, i=10, time=0.300080
stencil computation, n=3000, m=12000, r=1, c=42, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=44, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=46, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=48, i=10, time=0.555004
stencil computation, n=3000, m=12000, r=2, c=2, i=10, time=2.002583
stencil computation, n=3000, m=12000, r=2, c=4, i=10, time=1.075335
stencil computation, n=3000, m=12000, r=2, c=6, i=10, time=0.692686
stencil computation, n=3000, m=12000, r=2, c=8, i=10, time=0.516135
stencil computation, n=3000, m=12000, r=4, c=2, i=10, time=0.520447
stencil computation, n=3000, m=12000, r=4, c=4, i=10, time=0.501570
stencil computation, n=3000, m=12000, r=4, c=6, i=10, time=0.297966
stencil computation, n=3000, m=12000, r=4, c=8, i=10, time=0.233959
stencil computation, n=3000, m=12000, r=6, c=2, i=10, time=0.419541
stencil computation, n=3000, m=12000, r=6, c=4, i=10, time=0.290324
stencil computation, n=3000, m=12000, r=6, c=6, i=10, time=0.244097
stencil computation, n=3000, m=12000, r=6, c=8, i=10, time=0.163692
stencil computation, n=3000, m=12000, r=8, c=2, i=10, time=0.307467
stencil computation, n=3000, m=12000, r=8, c=4, i=10, time=0.236228
stencil computation, n=3000, m=12000, r=8, c=6, i=10, time=0.222370
stencil computation, n=3000, m=12000, r=8, c=8, i=10, time=0.147921
stencil computation, n=3000, m=12000, r=1, c=1, i=10, time=6.722939
stencil computation, n=3000, m=12000, r=2, c=1, i=10, time=3.959898
stencil computation, n=3000, m=12000, r=4, c=1, i=10, time=0.957296
stencil computation, n=3000, m=12000, r=6, c=1, i=10, time=0.647722
stencil computation, n=3000, m=12000, r=8, c=1, i=10, time=0.501285
stencil computation, n=3000, m=12000, r=10, c=1, i=10, time=0.599386
stencil computation, n=3000, m=12000, r=12, c=1, i=10, time=0.436899
