stencil computation, n=6000, m=6000, r=1, c=8, i=10, time=1.085559
stencil computation, n=6000, m=6000, r=1, c=10, i=10, time=0.838948
stencil computation, n=6000, m=6000, r=1, c=12, i=10, time=0.679108
stencil computation, n=6000, m=6000, r=1, c=14, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=16, i=10, time=0.515349
stencil computation, n=6000, m=6000, r=1, c=18, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=20, i=10, time=0.413809
stencil computation, n=6000, m=6000, r=1, c=22, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=24, i=10, time=0.350491
stencil computation, n=6000, m=6000, r=1, c=26, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=28, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=30, i=10, time=0.272431
stencil computation, n=6000, m=6000, r=1, c=32, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=34, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=36, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=38, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=40, i=10, time=0.227432
stencil computation, n=6000, m=6000, r=1, c=42, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=44, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=46, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=48, i=10, time=0.176226
stencil computation, n=6000, m=6000, r=2, c=2, i=10, time=0.952725
stencil computation, n=6000, m=6000, r=2, c=4, i=10, time=0.543450
stencil computation, n=6000, m=6000, r=2, c=6, i=10, time=0.481285
stencil computation, n=6000, m=6000, r=2, c=8, i=10, time=0.499796
stencil computation, n=6000, m=6000, r=4, c=2, i=10, time=0.501911
stencil computation, n=6000, m=6000, r=4, c=4, i=10, time=0.295877
stencil computation, n=6000, m=6000, r=4, c=6, i=10, time=0.219880
stencil computation, n=6000, m=6000, r=4, c=8, i=10, time=0.235010
stencil computation, n=6000, m=6000, r=6, c=2, i=10, time=0.397356
stencil computation, n=6000, m=6000, r=6, c=4, i=10, time=0.226740
stencil computation, n=6000, m=6000, r=6, c=6, i=10, time=0.169006
stencil computation, n=6000, m=6000, r=6, c=8, i=10, time=0.190702
stencil computation, n=6000, m=6000, r=8, c=2, i=10, time=0.285378
stencil computation, n=6000, m=6000, r=8, c=4, i=10, time=0.162167
stencil computation, n=6000, m=6000, r=8, c=6, i=10, time=0.149549
stencil computation, n=6000, m=6000, r=8, c=8, i=10, time=0.146925
stencil computation, n=6000, m=6000, r=1, c=1, i=10, time=7.950910
stencil computation, n=6000, m=6000, r=2, c=1, i=10, time=2.772354
stencil computation, n=6000, m=6000, r=4, c=1, i=10, time=1.384681
stencil computation, n=6000, m=6000, r=6, c=1, i=10, time=0.736493
stencil computation, n=6000, m=6000, r=8, c=1, i=10, time=0.648850
stencil computation, n=6000, m=6000, r=10, c=1, i=10, time=0.386324
stencil computation, n=6000, m=6000, r=12, c=1, i=10, time=0.340475
stencil computation, n=6000, m=6000, r=14, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=16, c=1, i=10, time=0.268814
stencil computation, n=6000, m=6000, r=18, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=20, c=1, i=10, time=0.216752
stencil computation, n=6000, m=6000, r=22, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=24, c=1, i=10, time=0.192394
stencil computation, n=6000, m=6000, r=26, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=28, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=30, c=1, i=10, time=0.171496
stencil computation, n=6000, m=6000, r=32, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=34, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=36, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=38, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=40, c=1, i=10, time=0.141340
stencil computation, n=6000, m=6000, r=42, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=44, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=46, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=48, c=1, i=10, time=0.108711
stencil computation, n=6000, m=6000, r=1, c=2, i=10, time=3.996200
stencil computation, n=6000, m=6000, r=1, c=4, i=10, time=2.019362
stencil computation, n=6000, m=6000, r=1, c=6, i=10, time=1.200805
stencil computation, n=6000, m=6000, r=1, c=8, i=10, time=1.088668
stencil computation, n=6000, m=6000, r=1, c=10, i=10, time=0.788787
stencil computation, n=6000, m=6000, r=1, c=12, i=10, time=0.699247
stencil computation, n=6000, m=6000, r=1, c=14, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=16, i=10, time=0.514292
stencil computation, n=6000, m=6000, r=1, c=18, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=20, i=10, time=0.408026
stencil computation, n=6000, m=6000, r=1, c=22, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=24, i=10, time=0.348812
stencil computation, n=6000, m=6000, r=1, c=26, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=28, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=30, i=10, time=0.298078
stencil computation, n=6000, m=6000, r=1, c=32, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=34, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=36, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=38, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=40, i=10, time=0.229777
stencil computation, n=6000, m=6000, r=1, c=42, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=44, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=46, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=48, i=10, time=0.178562
stencil computation, n=6000, m=6000, r=2, c=2, i=10, time=1.013974
stencil computation, n=6000, m=6000, r=2, c=4, i=10, time=0.521683
stencil computation, n=6000, m=6000, r=2, c=6, i=10, time=0.393580
stencil computation, n=6000, m=6000, r=2, c=8, i=10, time=0.828036
stencil computation, n=6000, m=6000, r=4, c=2, i=10, time=0.501692
stencil computation, n=6000, m=6000, r=4, c=4, i=10, time=0.293817
stencil computation, n=6000, m=6000, r=4, c=6, i=10, time=0.210255
stencil computation, n=6000, m=6000, r=4, c=8, i=10, time=0.214634
stencil computation, n=6000, m=6000, r=6, c=2, i=10, time=0.376096
stencil computation, n=6000, m=6000, r=6, c=4, i=10, time=0.282877
stencil computation, n=6000, m=6000, r=6, c=6, i=10, time=0.228346
stencil computation, n=6000, m=6000, r=6, c=8, i=10, time=0.169705
stencil computation, n=6000, m=6000, r=8, c=2, i=10, time=0.297821
stencil computation, n=6000, m=6000, r=8, c=4, i=10, time=0.160678
stencil computation, n=6000, m=6000, r=8, c=6, i=10, time=0.154642
stencil computation, n=6000, m=6000, r=8, c=8, i=10, time=0.258127
stencil computation, n=6000, m=6000, r=1, c=1, i=10, time=7.957673
stencil computation, n=6000, m=6000, r=2, c=1, i=10, time=2.841450
stencil computation, n=6000, m=6000, r=4, c=1, i=10, time=1.886451
stencil computation, n=6000, m=6000, r=6, c=1, i=10, time=0.796428
stencil computation, n=6000, m=6000, r=8, c=1, i=10, time=0.835386
stencil computation, n=6000, m=6000, r=10, c=1, i=10, time=0.386435
